token,share,exchange,price,average_buy,a_next_buy_price,a_quant_to_buy,a_quant_to_buy_perc,b_stop_loss_price,action,action_quantity,timestamp,order_id,order_status
136856836,RTNINDIA,BSE,58.72,1,10.0,40.9,47.664,47.035,B,1,2023-08-28 12:45:00.145242,230828501496682,COMPLETE
136856836,RTNINDIA,BSE,58.72,1,10.0,40.9,47.664,47.035,B,1,2023-08-28 12:45:00.145242,230828501496682,COMPLETE
136856836,RTNINDIA,BSE,58.72,1,10.0,49.81,47.664,57.2815,B,1,2023-08-28 12:45:00.299037,230828501496689,COMPLETE
136856836,RTNINDIA,BSE,58.72,1,10.0,49.81,47.664,57.2815,B,1,2023-08-28 12:45:00.299037,230828501496689,COMPLETE
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.310037,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.310037,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.320668,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.320668,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.330653,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.330653,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.342278,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.342278,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.352362,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.352362,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.363466,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.363466,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.374471,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.374471,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.384983,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.384983,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.394871,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.394871,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.405930,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.405930,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.415933,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.415933,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.426892,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.426892,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.436892,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.436892,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.446822,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.446822,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.457855,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.457855,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.467741,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.467741,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.477742,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.477742,,
136856836,RTNINDIA,BSE,58.72,1,10.0,52.78,47.664,60.697,N,0,2023-08-28 12:45:00.487777,,
